USR_ID,CLIENT_TIME,SESSION_ID,TOY_AMOUNT,TOY_NAME,UNLOCK_CAUSE,ISNEWTOY,TOY_UNLOCKED_METHOD
u280340524093749118,2024-04-02T17:54:35Z,3,0,DIRE_HORSE_VU424,Toy Scan,1,Toy_Scan
u7332680017441468330,2024-04-02T17:54:40Z,4,0,PARROCK_WITH_BASS_VTB48,Deep_Link,1,Deeplink
u1079510738250690188,2024-04-02T17:54:33Z,6,3,Orange Cleaner_VU042,Toy Scan,1,Toy_Scan
u8428167165557178015,2024-04-02T17:54:49Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u280340524093749118,2024-04-02T17:54:56Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3747446455010493108,2024-04-02T17:54:56Z,5,3,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u5720926779206143062,2024-04-02T17:55:18Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5373269536242953447,2024-04-02T17:55:41Z,6,4,Cockatoo_VT186,Reward System,1,Reward_System
u3747446455010493108,2024-04-02T17:55:45Z,5,4,Crown_VU192,Free Gift,1,Free_Gift
u6022701834787130222,2024-04-02T17:55:50Z,2,0,COLLECTOR_VD077,Toy Scan,1,Toy_Scan
u4958459256817267141,2024-04-02T17:56:01Z,20,17,SNAKE_VV060,Reward System,1,Reward_System
u2733646931798210399,2024-04-02T17:56:10Z,4,3,HIPPOPOTAMUS_VD300,Toy Scan,0,Toy_Scan
u6832054549424046904,2024-04-02T17:37:22Z,18,5,CADET_VD093,Reward System,1,Reward_System
u8714827421646805294,2024-04-02T17:37:48Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u356342470397113835,2024-04-02T17:38:07Z,7,3,MUNCHY_VT085A,Free Gift,1,Free_Gift
u7677320114318498568,2024-04-02T17:38:34Z,2,0,RED_PANDA_VT300,QR Code,1,QR_Code
u8194494633579058734,2024-04-02T17:39:15Z,13,3,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u5820644149901852705,2024-04-02T17:39:02Z,6,5,SHEEP_VT185,Reward System,1,Reward_System
u7718771170739902738,2024-04-02T17:39:11Z,2,0,SQUEEZE_SCOUT_VT046,Toy Scan,1,Toy_Scan
u5589576201509086043,2024-04-02T17:39:15Z,2,3,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u8641172954678587259,2024-04-02T17:39:24Z,2,0,WILLY_VD129,QR Code,1,QR_Code
u8184009358686916394,2024-04-02T17:39:33Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2785835349591938295,2024-04-02T17:39:15Z,22,3,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7718771170739902738,2024-04-02T17:39:38Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8641172954678587259,2024-04-02T17:40:07Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u1487877020261343380,2024-04-02T17:40:15Z,3,1,BUNZ_VD282,Free Gift,1,Free_Gift
u8714827421646805294,2024-04-02T17:40:22Z,4,2,BUNZ_VD282,Free Gift,1,Free_Gift
u2373612196083283944,2024-04-02T17:39:54Z,2,0,Chloe_VU158,Toy Scan,1,Toy_Scan
u885955160440176543,2024-04-02T17:40:35Z,6,5,BEAR_VU343,Toy Scan,0,Deeplink
u7606079353798937463,2024-04-02T17:40:23Z,8,22,MUNCHY_VT085A,Free Gift,1,Free_Gift
u4644852976247951372,2024-04-02T17:40:36Z,7,3,NEPTUNE_VD036,Reward System,1,Reward_System
u4246264127389973136,2024-04-02T17:40:27Z,2,0,TILTING_PAPA_TREX_VT052,Toy Scan,1,Toy_Scan
u618437385846055819,2024-04-02T17:40:51Z,4,3,FROG_VD307A,Reward System,1,Reward_System
u8714827421646805294,2024-04-02T17:40:51Z,4,3,WILLY_WONKA_DANCE_VT304,Toy Scan,1,Toy_Scan
u1195978795386783335,2024-04-02T17:40:53Z,1,0,Donald_VTD21,Deep_Link,1,Deeplink
u7244460470846214455,2024-04-02T17:29:45Z,11,12,DARK_DROMEDARY_VD306A,Toy Scan,1,Toy_Scan
u5462710950556638763,2024-04-02T17:29:41Z,2,0,TAN_BEAR_VT017,Toy Scan,1,Toy_Scan
u7782878019007019579,2024-04-02T17:30:27Z,14,5,Crown_VU192,Free Gift,1,Free_Gift
u7244460470846214455,2024-04-02T17:30:32Z,11,13,TIMOTHY_OCTOPUS_VT107,Toy Scan,1,Toy_Scan
u6986548062702874116,2024-04-02T17:30:35Z,5,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5462710950556638763,2024-04-02T17:30:43Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2733646931798210399,2024-04-02T17:30:53Z,3,0,HIPPOPOTAMUS_VD300,Toy Scan,1,Toy_Scan
u6156480638943898883,2024-04-02T17:30:56Z,2,2,SHEEP_VT185,Reward System,1,Reward_System
u2755284741303151104,2024-04-02T17:30:57Z,26,12,RESCUE_COPTER_VT190,Toy Scan,1,Toy_Scan
u4644852976247951372,2024-04-02T17:31:00Z,7,2,PORCUPINE_DV258,Reward System,1,Reward_System
u2733646931798210399,2024-04-02T17:31:29Z,4,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6166108363101366697,2024-04-02T17:31:30Z,5,2,ANTELOPE_VT292,Reward System,1,Reward_System
u7244460470846214455,2024-04-02T17:32:25Z,11,14,FROG_VD307A,Toy Scan,1,Toy_Scan
u3145830342272965479,2024-04-02T17:33:05Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5820644149901852705,2024-04-02T17:33:04Z,4,3,BUNZ_VD282,Free Gift,1,Free_Gift
u5820644149901852705,2024-04-02T17:33:25Z,4,4,TRUCKO_SAURUS_VT217,Toy Scan,1,Toy_Scan
u7070860001573646214,2024-04-02T17:45:09Z,4,0,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u1274964773210230647,2024-04-02T17:44:55Z,9,10,ZEBRA_VV114,Free Gift,1,Free_Gift
u259882311185923250,2024-04-02T17:45:27Z,1,0,ELSA_WITH_FRIENDSHIP_PENDANT_VTD15,Deep_Link,1,Deeplink
u2911911087870552516,2024-04-02T17:45:55Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7458753035953147128,2024-04-02T17:45:50Z,2,1,Anna_VU335,QR Code,1,QR_Code
u259882311185923250,2024-04-02T17:45:51Z,1,1,ZEBRA_VV114,Free Gift,1,Free_Gift
u3341924032986499174,2024-04-02T17:46:00Z,1,0,DUCK_SPINNER_VT362,Deep_Link,1,Deeplink
u2733646931798210399,2024-04-02T17:46:23Z,4,2,BUNZ_VD282,Free Gift,1,Free_Gift
u2911911087870552516,2024-04-02T17:46:17Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u356342470397113835,2024-04-02T17:46:17Z,12,4,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u5218461603944611968,2024-04-02T17:46:22Z,3,0,Chicken_VV352,Toy Scan,1,Toy_Scan
u5218461603944611968,2024-04-02T17:46:37Z,4,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3341924032986499174,2024-04-02T17:46:28Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5992669179887266056,2024-04-02T17:46:32Z,12,3,NEPTUNE_VD036,Reward System,1,Reward_System
u9037789107472577905,2024-04-02T17:46:40Z,3,2,BUNZ_VD282,Free Gift,1,Free_Gift
u2911911087870552516,2024-04-02T17:46:51Z,3,2,Bat Mixable_SE789M,Toy Scan,1,Toy_Scan
u2755284741303151104,2024-04-02T17:46:55Z,27,13,AQUA_FINGER_LAUNCHER_VV006A,Reward System,1,Reward_System
u4433355682439217680,2024-04-02T17:47:10Z,1,0,Pluto_VTD23,Deep_Link,1,Deeplink
